P-xcor,P-ycor,patch ID,Block ID,Species,Number in yard
48,87,48_87,4302,species16,2
48,87,48_87,4302,species297,2
48,87,48_87,4302,species323,6
48,87,48_87,4302,species391,8
48,87,48_87,4302,species291,3
48,87,48_87,4302,species237,5
48,87,48_87,4302,species166,2
48,87,48_87,4302,species371,1
38,47,38_47,2301,species209,9
38,47,38_47,2301,species86,10
38,47,38_47,2301,species308,7
38,47,38_47,2301,species237,3
38,47,38_47,2301,species166,3
38,47,38_47,2301,species371,5
38,47,38_47,2301,species331,3
38,47,38_47,2301,species159,1
73,28,73_28,1403,species159,6
73,28,73_28,1403,species166,7
73,28,73_28,1403,species371,8
73,28,73_28,1403,species331,3
73,28,73_28,1403,species295,9
73,28,73_28,1403,species59,8
73,28,73_28,1403,species237,10
73,28,73_28,1403,species129,5
83,28,83_28,1404,species175,4
83,28,83_28,1404,species371,8
83,28,83_28,1404,species166,8
83,28,83_28,1404,species331,8
83,28,83_28,1404,species159,2
83,28,83_28,1404,species295,11
83,28,83_28,1404,species129,10
83,28,83_28,1404,species59,4
55,93,55_93,4602,species99,1
55,93,55_93,4602,species167,9
55,93,55_93,4602,species47,11
55,93,55_93,4602,species248,3
55,93,55_93,4602,species237,11
55,93,55_93,4602,species59,7
55,93,55_93,4602,species159,10
55,93,55_93,4602,species166,8
72,4,72_4,203,species48,2
72,4,72_4,203,species136,3
72,4,72_4,203,species92,11
72,4,72_4,203,species343,3
72,4,72_4,203,species391,3
72,4,72_4,203,species295,5
72,4,72_4,203,species159,7
72,4,72_4,203,species371,2
83,35,83_35,1704,species28,9
83,35,83_35,1704,species78,9
83,35,83_35,1704,species328,9
83,35,83_35,1704,species153,8
83,35,83_35,1704,species161,10
83,35,83_35,1704,species266,9
83,35,83_35,1704,species129,6
83,35,83_35,1704,species166,5
1,47,1_47,2300,species351,8
1,47,1_47,2300,species332,7
1,47,1_47,2300,species28,11
1,47,1_47,2300,species290,2
1,47,1_47,2300,species251,11
1,47,1_47,2300,species276,9
1,47,1_47,2300,species11,3
1,47,1_47,2300,species266,2
1,47,1_47,2300,species166,2
46,16,46_16,802,species124,3
46,16,46_16,802,species47,5
46,16,46_16,802,species74,9
46,16,46_16,802,species230,9
46,16,46_16,802,species175,5
46,16,46_16,802,species164,4
46,16,46_16,802,species52,4
46,16,46_16,802,species159,6
46,16,46_16,802,species371,2
46,16,46_16,802,species166,10
38,75,38_75,3701,species266,1
38,75,38_75,3701,species237,3
38,75,38_75,3701,species166,5
38,75,38_75,3701,species371,8
38,75,38_75,3701,species331,8
38,75,38_75,3701,species59,7
38,75,38_75,3701,species295,10
63,11,63_11,503,species46,5
63,11,63_11,503,species291,10
63,11,63_11,503,species166,1
63,11,63_11,503,species371,5
63,11,63_11,503,species331,11
63,11,63_11,503,species159,1
63,11,63_11,503,species295,6
63,11,63_11,503,species59,9
71,96,71_96,4803,species333,8
71,96,71_96,4803,species119,4
71,96,71_96,4803,species391,7
71,96,71_96,4803,species288,6
71,96,71_96,4803,species166,3
71,96,71_96,4803,species371,5
71,96,71_96,4803,species331,5
71,96,71_96,4803,species159,5
24,89,24_89,4401,species371,2
24,89,24_89,4401,species166,4
24,89,24_89,4401,species331,5
24,89,24_89,4401,species59,9
24,89,24_89,4401,species295,7
24,89,24_89,4401,species159,2
24,89,24_89,4401,species129,4
64,54,64_54,2703,species58,6
64,54,64_54,2703,species95,10
64,54,64_54,2703,species113,5
64,54,64_54,2703,species313,3
64,54,64_54,2703,species276,1
64,54,64_54,2703,species323,3
64,54,64_54,2703,species324,4
64,54,64_54,2703,species59,3
64,54,64_54,2703,species371,4
64,54,64_54,2703,species166,7
53,1,53_1,2,species316,7
53,1,53_1,2,species291,5
53,1,53_1,2,species237,11
53,1,53_1,2,species166,3
53,1,53_1,2,species371,10
53,1,53_1,2,species331,10
53,1,53_1,2,species159,9
53,1,53_1,2,species295,3
98,13,98_13,604,species380,6
98,13,98_13,604,species3,2
98,13,98_13,604,species49,5
98,13,98_13,604,species129,7
98,13,98_13,604,species166,11
98,13,98_13,604,species371,10
98,13,98_13,604,species331,10
98,13,98_13,604,species159,11
47,45,47_45,2202,species141,8
47,45,47_45,2202,species90,3
47,45,47_45,2202,species249,10
47,45,47_45,2202,species166,10
47,45,47_45,2202,species371,8
47,45,47_45,2202,species331,3
47,45,47_45,2202,species295,9
47,45,47_45,2202,species159,9
63,25,63_25,1203,species230,5
63,25,63_25,1203,species159,6
63,25,63_25,1203,species166,8
63,25,63_25,1203,species371,1
63,25,63_25,1203,species331,3
63,25,63_25,1203,species295,10
63,25,63_25,1203,species59,4
63,25,63_25,1203,species129,3
50,21,50_21,1002,species305,4
50,21,50_21,1002,species175,10
50,21,50_21,1002,species266,5
50,21,50_21,1002,species49,10
50,21,50_21,1002,species308,4
50,21,50_21,1002,species303,1
50,21,50_21,1002,species159,8
50,21,50_21,1002,species331,6
50,21,50_21,1002,species166,7
57,2,57_2,102,species64,7
57,2,57_2,102,species92,11
57,2,57_2,102,species74,5
57,2,57_2,102,species374,11
57,2,57_2,102,species331,4
57,2,57_2,102,species166,4
57,2,57_2,102,species371,10
57,2,57_2,102,species159,7
4,1,4_1,0,species189,10
4,1,4_1,0,species277,8
4,1,4_1,0,species343,5
4,1,4_1,0,species291,6
4,1,4_1,0,species295,1
4,1,4_1,0,species371,7
4,1,4_1,0,species166,5
32,56,32_56,2801,species146,9
32,56,32_56,2801,species164,11
32,56,32_56,2801,species227,2
32,56,32_56,2801,species291,6
32,56,32_56,2801,species331,11
32,56,32_56,2801,species166,5
32,56,32_56,2801,species371,2
32,56,32_56,2801,species159,6
11,68,11_68,3400,species14,3
11,68,11_68,3400,species185,8
11,68,11_68,3400,species367,6
11,68,11_68,3400,species390,6
11,68,11_68,3400,species260,10
11,68,11_68,3400,species368,10
11,68,11_68,3400,species172,6
11,68,11_68,3400,species52,6
11,68,11_68,3400,species374,9
11,68,11_68,3400,species295,11
11,68,11_68,3400,species166,7
29,94,29_94,4701,species311,5
29,94,29_94,4701,species231,7
29,94,29_94,4701,species302,10
29,94,29_94,4701,species161,8
29,94,29_94,4701,species295,3
29,94,29_94,4701,species166,4
29,94,29_94,4701,species371,8
29,94,29_94,4701,species331,8
56,23,56_23,1102,species133,3
56,23,56_23,1102,species241,10
56,23,56_23,1102,species231,5
56,23,56_23,1102,species5,10
56,23,56_23,1102,species393,3
56,23,56_23,1102,species302,5
56,23,56_23,1102,species161,11
56,23,56_23,1102,species288,9
56,23,56_23,1102,species331,8
40,61,40_61,3002,species368,9
40,61,40_61,3002,species249,2
40,61,40_61,3002,species172,10
40,61,40_61,3002,species166,6
40,61,40_61,3002,species371,4
40,61,40_61,3002,species331,10
40,61,40_61,3002,species159,9
40,61,40_61,3002,species59,9
92,4,92_4,204,species90,7
92,4,92_4,204,species119,10
92,4,92_4,204,species49,2
92,4,92_4,204,species249,2
92,4,92_4,204,species237,2
92,4,92_4,204,species295,4
92,4,92_4,204,species166,10
92,4,92_4,204,species371,4
59,20,59_20,1002,species153,4
59,20,59_20,1002,species291,8
59,20,59_20,1002,species237,5
59,20,59_20,1002,species166,10
59,20,59_20,1002,species371,10
59,20,59_20,1002,species331,3
59,20,59_20,1002,species159,6
59,20,59_20,1002,species295,7
83,93,83_93,4604,species260,6
83,93,83_93,4604,species371,3
83,93,83_93,4604,species166,6
83,93,83_93,4604,species331,1
83,93,83_93,4604,species159,5
83,93,83_93,4604,species295,7
83,93,83_93,4604,species129,11
83,93,83_93,4604,species291,7
6,31,6_31,1500,species141,3
6,31,6_31,1500,species126,5
6,31,6_31,1500,species298,11
6,31,6_31,1500,species29,8
6,31,6_31,1500,species153,7
6,31,6_31,1500,species171,11
6,31,6_31,1500,species49,11
6,31,6_31,1500,species52,8
6,31,6_31,1500,species291,11
6,31,6_31,1500,species374,3
6,31,6_31,1500,species129,8
6,31,6_31,1500,species159,5
6,31,6_31,1500,species371,8
6,31,6_31,1500,species166,8
32,2,32_2,101,species48,3
32,2,32_2,101,species117,1
32,2,32_2,101,species217,8
32,2,32_2,101,species113,10
32,2,32_2,101,species261,6
32,2,32_2,101,species394,9
32,2,32_2,101,species310,9
32,2,32_2,101,species292,5
32,2,32_2,101,species61,10
32,2,32_2,101,species262,11
32,2,32_2,101,species74,10
32,2,32_2,101,species397,5
32,2,32_2,101,species323,5
32,2,32_2,101,species226,7
32,2,32_2,101,species49,2
32,2,32_2,101,species303,10
32,2,32_2,101,species164,6
32,2,32_2,101,species172,1
32,2,32_2,101,species52,10
32,2,32_2,101,species291,2
32,2,32_2,101,species295,1
32,2,32_2,101,species159,10
32,2,32_2,101,species331,8
32,2,32_2,101,species371,7
32,2,32_2,101,species166,10
13,12,13_12,600,species356,3
13,12,13_12,600,species172,3
13,12,13_12,600,species166,2
13,12,13_12,600,species371,4
13,12,13_12,600,species331,1
13,12,13_12,600,species159,8
13,12,13_12,600,species295,11
13,12,13_12,600,species129,1
69,40,69_40,2003,species153,10
69,40,69_40,2003,species52,10
69,40,69_40,2003,species237,7
69,40,69_40,2003,species129,9
69,40,69_40,2003,species166,3
69,40,69_40,2003,species371,2
69,40,69_40,2003,species331,8
69,40,69_40,2003,species159,7
45,2,45_2,102,species290,3
45,2,45_2,102,species29,2
45,2,45_2,102,species150,6
45,2,45_2,102,species374,8
45,2,45_2,102,species166,9
45,2,45_2,102,species371,5
45,2,45_2,102,species331,1
45,2,45_2,102,species159,10
19,97,19_97,4800,species166,2
19,97,19_97,4800,species371,7
19,97,19_97,4800,species331,8
19,97,19_97,4800,species59,9
19,97,19_97,4800,species295,10
19,97,19_97,4800,species159,3
19,97,19_97,4800,species129,3
13,6,13_6,300,species150,7
13,6,13_6,300,species295,3
13,6,13_6,300,species166,8
13,6,13_6,300,species371,7
13,6,13_6,300,species331,4
13,6,13_6,300,species159,11
13,6,13_6,300,species129,7
13,6,13_6,300,species59,9
