P-xcor,P-ycor,patch ID,Block ID,Species,Number in yard
25,47,25_47,2301,species367,10
25,47,25_47,2301,species166,10
25,47,25_47,2301,species331,3
25,47,25_47,2301,species129,2
25,47,25_47,2301,species227,10
25,47,25_47,2301,species371,3
25,47,25_47,2301,species3,4
25,47,25_47,2301,species303,3
25,47,25_47,2301,species59,10
94,60,94_60,3004,species374,11
94,60,94_60,3004,species371,10
94,60,94_60,3004,species166,8
94,60,94_60,3004,species3,4
94,60,94_60,3004,species159,3
94,60,94_60,3004,species295,9
94,60,94_60,3004,species331,4
94,60,94_60,3004,species227,6
94,60,94_60,3004,species59,5
11,81,11_81,4000,species291,2
11,81,11_81,4000,species237,3
11,81,11_81,4000,species166,8
11,81,11_81,4000,species371,9
11,81,11_81,4000,species331,7
11,81,11_81,4000,species159,10
55,23,55_23,1102,species119,4
55,23,55_23,1102,species129,10
55,23,55_23,1102,species295,4
55,23,55_23,1102,species59,2
55,23,55_23,1102,species331,4
55,23,55_23,1102,species166,8
55,23,55_23,1102,species371,6
55,23,55_23,1102,species237,11
55,23,55_23,1102,species159,2
64,84,64_84,4203,species166,1
64,84,64_84,4203,species371,4
64,84,64_84,4203,species331,6
64,84,64_84,4203,species159,8
64,84,64_84,4203,species295,2
64,84,64_84,4203,species59,4
64,84,64_84,4203,species227,1
64,84,64_84,4203,species226,1
19,38,19_38,1900,species231,3
19,38,19_38,1900,species393,2
19,38,19_38,1900,species287,7
19,38,19_38,1900,species249,7
19,38,19_38,1900,species295,8
19,38,19_38,1900,species159,11
19,38,19_38,1900,species371,5
19,38,19_38,1900,species166,6
62,74,62_74,3703,species349,3
62,74,62_74,3703,species29,7
62,74,62_74,3703,species11,2
62,74,62_74,3703,species287,8
62,74,62_74,3703,species303,9
62,74,62_74,3703,species288,11
62,74,62_74,3703,species166,7
65,88,65_88,4403,species266,6
65,88,65_88,4403,species166,3
65,88,65_88,4403,species371,4
65,88,65_88,4403,species374,6
65,88,65_88,4403,species331,6
65,88,65_88,4403,species295,11
65,88,65_88,4403,species172,6
7,28,7_28,1400,species171,2
7,28,7_28,1400,species161,3
7,28,7_28,1400,species266,10
7,28,7_28,1400,species166,10
7,28,7_28,1400,species371,1
7,28,7_28,1400,species374,4
80,43,80_43,2104,species358,3
80,43,80_43,2104,species228,4
80,43,80_43,2104,species29,3
80,43,80_43,2104,species172,9
80,43,80_43,2104,species159,10
80,43,80_43,2104,species166,1
80,43,80_43,2104,species371,1
80,43,80_43,2104,species291,7
83,82,83_82,4104,species374,11
83,82,83_82,4104,species295,4
83,82,83_82,4104,species371,4
83,82,83_82,4104,species166,5
83,82,83_82,4104,species331,7
83,82,83_82,4104,species237,6
83,82,83_82,4104,species368,11
83,82,83_82,4104,species52,6
83,82,83_82,4104,species164,7
83,82,83_82,4104,species303,9
30,27,30_27,1301,species323,4
30,27,30_27,1301,species81,7
30,27,30_27,1301,species298,5
30,27,30_27,1301,species11,10
30,27,30_27,1301,species153,9
30,27,30_27,1301,species49,1
30,27,30_27,1301,species249,1
30,27,30_27,1301,species288,5
30,27,30_27,1301,species291,6
30,27,30_27,1301,species129,10
30,27,30_27,1301,species59,7
30,27,30_27,1301,species159,4
30,27,30_27,1301,species371,5
30,27,30_27,1301,species166,1
50,95,50_95,4702,species102,2
50,95,50_95,4702,species298,3
50,95,50_95,4702,species228,2
50,95,50_95,4702,species150,3
50,95,50_95,4702,species308,5
50,95,50_95,4702,species288,8
50,95,50_95,4702,species59,3
50,95,50_95,4702,species159,4
50,95,50_95,4702,species331,7
50,95,50_95,4702,species371,3
50,95,50_95,4702,species166,3
11,32,11_32,1600,species12,4
11,32,11_32,1600,species393,5
11,32,11_32,1600,species333,11
11,32,11_32,1600,species226,8
11,32,11_32,1600,species266,4
11,32,11_32,1600,species391,5
11,32,11_32,1600,species227,1
11,32,11_32,1600,species237,8
11,32,11_32,1600,species295,10
11,32,11_32,1600,species331,4
56,56,56_56,2802,species95,1
56,56,56_56,2802,species64,3
56,56,56_56,2802,species390,10
56,56,56_56,2802,species228,11
56,56,56_56,2802,species150,8
56,56,56_56,2802,species226,1
56,56,56_56,2802,species230,11
